id,iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
49,PRT,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,11101000,tonnes,annual,47:28.8,48:09.2
50,PRT,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,11101000,tonnes,annual,47:28.8,48:09.2
51,PRT,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,11101000,tonnes,annual,47:28.8,48:09.2
52,TUN,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,10745000,tonnes,annual,47:28.8,48:10.6
53,TUN,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,10745000,tonnes,annual,47:28.8,48:10.6
54,TUN,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,10745000,tonnes,annual,47:28.8,48:10.6
55,SYR,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,9847000,tonnes,annual,47:28.8,51:13.5
56,SYR,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,9847000,tonnes,annual,47:28.8,51:13.5
57,SYR,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,9847000,tonnes,annual,47:28.8,51:13.5
58,SWE,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,9707000,tonnes,annual,47:28.8,48:10.0
59,SWE,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,9707000,tonnes,annual,47:28.8,48:10.0
60,SWE,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,9707000,tonnes,annual,47:28.8,48:10.0
61,SVK,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,7429000,tonnes,annual,47:28.8,51:13.5
62,SVK,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,7429000,tonnes,annual,47:28.8,51:13.5
63,SVK,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,7429000,tonnes,annual,47:28.8,51:13.5
64,XKX,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,6669000,tonnes,annual,47:28.8,48:10.6
65,XKX,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,6669000,tonnes,annual,47:28.8,48:10.6
66,XKX,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,6669000,tonnes,annual,47:28.8,48:10.6
67,ZWE,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,5283000,tonnes,annual,47:28.8,51:14.2
68,ZWE,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,5283000,tonnes,annual,47:28.8,51:14.2
69,ZWE,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,5283000,tonnes,annual,47:28.8,51:14.2
70,TTO,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,4934000,tonnes,annual,47:28.8,48:10.6
71,TTO,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,4934000,tonnes,annual,47:28.8,48:10.6
72,TTO,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,4934000,tonnes,annual,47:28.8,48:10.6
73,SDN,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,4877000,tonnes,annual,47:28.8,48:10.0
74,SDN,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,4877000,tonnes,annual,47:28.8,48:10.0
75,SDN,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,4877000,tonnes,annual,47:28.8,48:10.0
76,TZA,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,4195000,tonnes,annual,47:28.8,48:10.6
77,TZA,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,4195000,tonnes,annual,47:28.8,48:10.6
78,TZA,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,4195000,tonnes,annual,47:28.8,48:10.6
79,SVN,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,3782000,tonnes,annual,47:28.8,51:13.5
80,SVN,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,3782000,tonnes,annual,47:28.8,51:13.5
81,SVN,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,3782000,tonnes,annual,47:28.8,51:13.5
82,SEN,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,2902000,tonnes,annual,47:28.8,
83,SEN,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,2902000,tonnes,annual,47:28.8,
84,SEN,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,2902000,tonnes,annual,47:28.8,
85,REU,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,2465000,tonnes,annual,47:28.8,48:10.0
86,REU,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,2465000,tonnes,annual,47:28.8,48:10.0
87,REU,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,2465000,tonnes,annual,47:28.8,48:10.0
88,SLV,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,2363000,tonnes,annual,47:28.8,
89,SLV,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,2363000,tonnes,annual,47:28.8,
90,SLV,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,2363000,tonnes,annual,47:28.8,
91,ZMB,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,2234000,tonnes,annual,47:28.8,48:10.6
92,ZMB,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,2234000,tonnes,annual,47:28.8,48:10.6
93,ZMB,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,2234000,tonnes,annual,47:28.8,48:10.6
94,YEM,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,2108000,tonnes,annual,47:28.8,48:10.6
95,YEM,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,2108000,tonnes,annual,47:28.8,48:10.6
96,YEM,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,2108000,tonnes,annual,47:28.8,48:10.6
97,PRK,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,2015000,tonnes,annual,47:28.8,48:09.2
98,PRK,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,2015000,tonnes,annual,47:28.8,48:09.2
99,PRK,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,2015000,tonnes,annual,47:28.8,48:09.2
100,URY,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,1381000,tonnes,annual,47:28.8,48:10.6
101,URY,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,1381000,tonnes,annual,47:28.8,48:10.6
102,URY,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,1381000,tonnes,annual,47:28.8,48:10.6
103,SUR,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,1065000,tonnes,annual,47:28.8,48:10.0
104,SUR,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,1065000,tonnes,annual,47:28.8,48:10.0
105,SUR,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,1065000,tonnes,annual,47:28.8,48:10.0
106,TJK,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,1000000,tonnes,annual,47:28.8,51:14.2
107,TJK,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,1000000,tonnes,annual,47:28.8,51:14.2
108,TJK,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,1000000,tonnes,annual,47:28.8,51:14.2
109,SWZ,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,823000,tonnes,annual,47:28.8,48:10.0
110,SWZ,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,823000,tonnes,annual,47:28.8,48:10.0
111,SWZ,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,823000,tonnes,annual,47:28.8,48:10.0
112,UGA,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,601000,tonnes,annual,47:28.8,48:10.6
113,UGA,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,601000,tonnes,annual,47:28.8,48:10.6
114,UGA,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,601000,tonnes,annual,47:28.8,48:10.6
115,SSD,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,457000,tonnes,annual,47:28.8,48:10.0
116,SSD,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,457000,tonnes,annual,47:28.8,48:10.0
117,SSD,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,457000,tonnes,annual,47:28.8,48:10.0
118,PSE,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,454000,tonnes,annual,47:28.8,48:09.2
119,PSE,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,454000,tonnes,annual,47:28.8,48:09.2
120,PSE,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,454000,tonnes,annual,47:28.8,48:09.2
121,SYC,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,428000,tonnes,annual,47:28.8,48:10.0
122,SYC,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,428000,tonnes,annual,47:28.8,48:10.0
123,SYC,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,428000,tonnes,annual,47:28.8,48:10.0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
127,TGO,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,404000,tonnes,annual,47:28.8,48:10.0
128,TGO,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,404000,tonnes,annual,47:28.8,48:10.0
129,TGO,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,404000,tonnes,annual,47:28.8,48:10.0
130,RWA,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,378000,tonnes,annual,47:28.8,48:10.0
131,RWA,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,378000,tonnes,annual,47:28.8,48:10.0
132,RWA,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,378000,tonnes,annual,47:28.8,48:10.0
133,PYF,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,376000,tonnes,annual,47:28.8,48:09.2
134,PYF,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,376000,tonnes,annual,47:28.8,48:09.2
135,PYF,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,376000,tonnes,annual,47:28.8,48:09.2
136,SOM,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,311000,tonnes,annual,47:28.8,48:10.0
137,SOM,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,311000,tonnes,annual,47:28.8,48:10.0
138,SOM,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,311000,tonnes,annual,47:28.8,48:10.0
139,TCD,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,236000,tonnes,annual,47:28.8,48:10.0
140,TCD,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,236000,tonnes,annual,47:28.8,48:10.0
141,TCD,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,236000,tonnes,annual,47:28.8,48:10.0
142,TCA,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,207000,tonnes,annual,47:28.8,48:10.0
143,TCA,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,207000,tonnes,annual,47:28.8,48:10.0
144,TCA,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,207000,tonnes,annual,47:28.8,48:10.0
145,VGB,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,113000,tonnes,annual,47:28.8,48:10.6
146,VGB,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,113000,tonnes,annual,47:28.8,48:10.6
147,VGB,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,113000,tonnes,annual,47:28.8,48:10.6
148,WSM,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,101000,tonnes,annual,47:28.8,48:10.6
149,WSM,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,101000,tonnes,annual,47:28.8,48:10.6
150,WSM,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,101000,tonnes,annual,47:28.8,48:10.6
151,VCT,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,98000,tonnes,annual,47:28.8,48:10.6
152,VCT,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,98000,tonnes,annual,47:28.8,48:10.6
153,VCT,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,98000,tonnes,annual,47:28.8,48:10.6
154,SLB,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,85000,tonnes,annual,47:28.8,48:10.0
155,SLB,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,85000,tonnes,annual,47:28.8,48:10.0
156,SLB,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,85000,tonnes,annual,47:28.8,48:10.0
157,STP,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,69000,tonnes,annual,47:28.8,48:10.0
158,STP,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,69000,tonnes,annual,47:28.8,48:10.0
159,STP,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,69000,tonnes,annual,47:28.8,48:10.0
160,TON,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,51000,tonnes,annual,47:28.8,48:10.6
161,TON,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,51000,tonnes,annual,47:28.8,48:10.6
162,TON,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,51000,tonnes,annual,47:28.8,48:10.6
163,SPM,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,43000,tonnes,annual,47:28.8,48:10.0
164,SPM,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,43000,tonnes,annual,47:28.8,48:10.0
165,SPM,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,43000,tonnes,annual,47:28.8,48:10.0
166,VUT,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,43000,tonnes,annual,47:28.8,48:10.6
167,VUT,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,43000,tonnes,annual,47:28.8,48:10.6
168,VUT,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,43000,tonnes,annual,47:28.8,48:10.6
169,TUV,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,20000,tonnes,annual,47:28.8,
170,TUV,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,20000,tonnes,annual,47:28.8,
171,TUV,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,20000,tonnes,annual,47:28.8,
172,WLF,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,16000,tonnes,annual,47:28.8,
173,WLF,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,16000,tonnes,annual,47:28.8,
174,WLF,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,16000,tonnes,annual,47:28.8,
175,SLE,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,15000,tonnes,annual,47:28.8,48:10.0
176,SLE,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,15000,tonnes,annual,47:28.8,48:10.0
177,SLE,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,15000,tonnes,annual,47:28.8,48:10.0
178,SHN,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,7000,tonnes,annual,47:28.8,48:10.0
179,SHN,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,7000,tonnes,annual,47:28.8,48:10.0
180,SHN,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,7000,tonnes,annual,47:28.8,48:10.0
181,CHN,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2," ""4816495000"" ",tonnes,annual,47:28.7,51:09.6
182,CHN,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr," ""4816495000"" ",tonnes,annual,47:28.7,51:09.6
183,CHN,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr," ""4816495000"" ",tonnes,annual,47:28.7,51:09.6
184,IND,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,1196389000,tonnes,annual,47:28.7,51:11.0
185,IND,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,1196389000,tonnes,annual,47:28.7,51:11.0
186,IND,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,1196389000,tonnes,annual,47:28.7,51:11.0
187,JPN,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,420695000,tonnes,annual,47:28.7,51:11.0
188,JPN,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,420695000,tonnes,annual,47:28.7,51:11.0
189,JPN,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,420695000,tonnes,annual,47:28.7,51:11.0
190,ISR,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,397150000,tonnes,annual,47:28.7,51:11.0
191,ISR,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,397150000,tonnes,annual,47:28.7,51:11.0
192,ISR,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,397150000,tonnes,annual,47:28.7,51:11.0
193,KOR,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,258391000,tonnes,annual,47:28.7,51:11.0
194,KOR,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,258391000,tonnes,annual,47:28.7,51:11.0
195,KOR,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,258391000,tonnes,annual,47:28.7,51:11.0
196,DEU,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,247500000,tonnes,annual,47:28.7,51:09.6
197,DEU,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,247500000,tonnes,annual,47:28.7,51:09.6
198,DEU,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,247500000,tonnes,annual,47:28.7,51:09.6
199,IDN,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,220493000,tonnes,annual,47:28.7,48:07.8
200,IDN,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,220493000,tonnes,annual,47:28.7,48:07.8
201,IDN,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,220493000,tonnes,annual,47:28.7,48:07.8
202,IRN,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,179529000,tonnes,annual,47:28.7,51:11.0
203,IRN,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,179529000,tonnes,annual,47:28.7,51:11.0
204,IRN,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,179529000,tonnes,annual,47:28.7,51:11.0
205,MEX,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,166191000,tonnes,annual,47:28.7,
206,MEX,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,166191000,tonnes,annual,47:28.7,
207,MEX,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,166191000,tonnes,annual,47:28.7,
208,POL,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,154068000,tonnes,annual,47:28.7,51:12.8
209,POL,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,154068000,tonnes,annual,47:28.7,51:12.8
210,POL,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,154068000,tonnes,annual,47:28.7,51:12.8
211,BRA,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,116999000,tonnes,annual,47:28.7,48:06.5
212,BRA,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,116999000,tonnes,annual,47:28.7,48:06.5
213,BRA,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,116999000,tonnes,annual,47:28.7,48:06.5
214,MYS,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,111254000,tonnes,annual,47:28.7,51:12.8
215,MYS,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,111254000,tonnes,annual,47:28.7,51:12.8
216,MYS,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,111254000,tonnes,annual,47:28.7,51:12.8
217,GBR,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,106590000,tonnes,annual,47:28.7,51:10.3
218,GBR,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,106590000,tonnes,annual,47:28.7,51:10.3
219,GBR,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,106590000,tonnes,annual,47:28.7,51:10.3
220,EGY,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,103722000,tonnes,annual,47:28.7,48:07.2
221,EGY,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,103722000,tonnes,annual,47:28.7,48:07.2
222,EGY,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,103722000,tonnes,annual,47:28.7,48:07.2
223,CAN,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,96351000,tonnes,annual,47:28.7,48:06.5
