id,iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
90.0,SLV,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,2363000,tonnes,annual,47:28.8,
91.0,ZMB,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,2234000,tonnes,annual,47:28.8,48:10.6
92.0,ZMB,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,2234000,tonnes,annual,47:28.8,48:10.6
93.0,ZMB,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,2234000,tonnes,annual,47:28.8,48:10.6
94.0,YEM,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,2108000,tonnes,annual,47:28.8,48:10.6
95.0,YEM,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,2108000,tonnes,annual,47:28.8,48:10.6
96.0,YEM,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,2108000,tonnes,annual,47:28.8,48:10.6
97.0,PRK,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,2015000,tonnes,annual,47:28.8,48:09.2
98.0,PRK,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,2015000,tonnes,annual,47:28.8,48:09.2
99.0,PRK,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,2015000,tonnes,annual,47:28.8,48:09.2
100.0,URY,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,1381000,tonnes,annual,47:28.8,48:10.6
101.0,URY,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,1381000,tonnes,annual,47:28.8,48:10.6
102.0,URY,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,1381000,tonnes,annual,47:28.8,48:10.6
103.0,SUR,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,1065000,tonnes,annual,47:28.8,48:10.0
104.0,SUR,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,1065000,tonnes,annual,47:28.8,48:10.0
105.0,SUR,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,1065000,tonnes,annual,47:28.8,48:10.0
106.0,TJK,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,1000000,tonnes,annual,47:28.8,51:14.2
107.0,TJK,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,1000000,tonnes,annual,47:28.8,51:14.2
108.0,TJK,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,1000000,tonnes,annual,47:28.8,51:14.2
109.0,SWZ,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,823000,tonnes,annual,47:28.8,48:10.0
110.0,SWZ,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,823000,tonnes,annual,47:28.8,48:10.0
111.0,SWZ,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,823000,tonnes,annual,47:28.8,48:10.0
112.0,UGA,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,601000,tonnes,annual,47:28.8,48:10.6
113.0,UGA,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,601000,tonnes,annual,47:28.8,48:10.6
114.0,UGA,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,601000,tonnes,annual,47:28.8,48:10.6
115.0,SSD,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,457000,tonnes,annual,47:28.8,48:10.0
116.0,SSD,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,457000,tonnes,annual,47:28.8,48:10.0
117.0,SSD,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,457000,tonnes,annual,47:28.8,48:10.0
118.0,PSE,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,454000,tonnes,annual,47:28.8,48:09.2
119.0,PSE,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,454000,tonnes,annual,47:28.8,48:09.2
120.0,PSE,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,454000,tonnes,annual,47:28.8,48:09.2
121.0,SYC,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,428000,tonnes,annual,47:28.8,48:10.0
122.0,SYC,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,428000,tonnes,annual,47:28.8,48:10.0
123.0,SYC,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,428000,tonnes,annual,47:28.8,48:10.0
127.0,TGO,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,404000,tonnes,annual,47:28.8,48:10.0
128.0,TGO,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,404000,tonnes,annual,47:28.8,48:10.0
129.0,TGO,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,404000,tonnes,annual,47:28.8,48:10.0
130.0,RWA,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,378000,tonnes,annual,47:28.8,48:10.0
131.0,RWA,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,378000,tonnes,annual,47:28.8,48:10.0
132.0,RWA,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,378000,tonnes,annual,47:28.8,48:10.0
133.0,PYF,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,376000,tonnes,annual,47:28.8,48:09.2
134.0,PYF,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,376000,tonnes,annual,47:28.8,48:09.2
135.0,PYF,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,376000,tonnes,annual,47:28.8,48:09.2
136.0,SOM,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,311000,tonnes,annual,47:28.8,48:10.0
137.0,SOM,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,311000,tonnes,annual,47:28.8,48:10.0
138.0,SOM,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,311000,tonnes,annual,47:28.8,48:10.0
139.0,TCD,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,236000,tonnes,annual,47:28.8,48:10.0
140.0,TCD,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,236000,tonnes,annual,47:28.8,48:10.0
141.0,TCD,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,236000,tonnes,annual,47:28.8,48:10.0
142.0,TCA,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,207000,tonnes,annual,47:28.8,48:10.0
143.0,TCA,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,207000,tonnes,annual,47:28.8,48:10.0
144.0,TCA,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,207000,tonnes,annual,47:28.8,48:10.0
145.0,VGB,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,113000,tonnes,annual,47:28.8,48:10.6
146.0,VGB,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,113000,tonnes,annual,47:28.8,48:10.6
147.0,VGB,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,113000,tonnes,annual,47:28.8,48:10.6
148.0,WSM,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,101000,tonnes,annual,47:28.8,48:10.6
149.0,WSM,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,101000,tonnes,annual,47:28.8,48:10.6
150.0,WSM,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,101000,tonnes,annual,47:28.8,48:10.6
151.0,VCT,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,98000,tonnes,annual,47:28.8,48:10.6
152.0,VCT,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,98000,tonnes,annual,47:28.8,48:10.6
153.0,VCT,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,98000,tonnes,annual,47:28.8,48:10.6
154.0,SLB,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,85000,tonnes,annual,47:28.8,48:10.0
155.0,SLB,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,85000,tonnes,annual,47:28.8,48:10.0
156.0,SLB,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,85000,tonnes,annual,47:28.8,48:10.0
157.0,STP,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,69000,tonnes,annual,47:28.8,48:10.0
158.0,STP,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,69000,tonnes,annual,47:28.8,48:10.0
159.0,STP,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,69000,tonnes,annual,47:28.8,48:10.0
160.0,TON,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,51000,tonnes,annual,47:28.8,48:10.6
161.0,TON,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,51000,tonnes,annual,47:28.8,48:10.6
162.0,TON,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,51000,tonnes,annual,47:28.8,48:10.6
163.0,SPM,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,43000,tonnes,annual,47:28.8,48:10.0
164.0,SPM,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,43000,tonnes,annual,47:28.8,48:10.0
165.0,SPM,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,43000,tonnes,annual,47:28.8,48:10.0
166.0,VUT,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,43000,tonnes,annual,47:28.8,48:10.6
167.0,VUT,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,43000,tonnes,annual,47:28.8,48:10.6
168.0,VUT,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,43000,tonnes,annual,47:28.8,48:10.6
169.0,TUV,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,20000,tonnes,annual,47:28.8,
170.0,TUV,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,20000,tonnes,annual,47:28.8,
171.0,TUV,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,20000,tonnes,annual,47:28.8,
172.0,WLF,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,16000,tonnes,annual,47:28.8,
173.0,WLF,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,16000,tonnes,annual,47:28.8,
174.0,WLF,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,16000,tonnes,annual,47:28.8,
175.0,SLE,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,15000,tonnes,annual,47:28.8,48:10.0
176.0,SLE,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,15000,tonnes,annual,47:28.8,48:10.0
177.0,SLE,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,15000,tonnes,annual,47:28.8,48:10.0
178.0,SHN,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,7000,tonnes,annual,47:28.8,48:10.0
179.0,SHN,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,7000,tonnes,annual,47:28.8,48:10.0
180.0,SHN,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,7000,tonnes,annual,47:28.8,48:10.0
181.0,CHN,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,0,tonnes,annual,47:28.7,51:09.6
182.0,CHN,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,0,tonnes,annual,47:28.7,51:09.6
183.0,CHN,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,0,tonnes,annual,47:28.7,51:09.6
184.0,IND,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,1196389000,tonnes,annual,47:28.7,51:11.0
185.0,IND,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,1196389000,tonnes,annual,47:28.7,51:11.0
186.0,IND,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,1196389000,tonnes,annual,47:28.7,51:11.0
187.0,JPN,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,420695000,tonnes,annual,47:28.7,51:11.0
188.0,JPN,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,420695000,tonnes,annual,47:28.7,51:11.0
189.0,JPN,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,420695000,tonnes,annual,47:28.7,51:11.0
190.0,ISR,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,397150000,tonnes,annual,47:28.7,51:11.0
191.0,ISR,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,397150000,tonnes,annual,47:28.7,51:11.0
192.0,ISR,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,397150000,tonnes,annual,47:28.7,51:11.0
193.0,KOR,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,258391000,tonnes,annual,47:28.7,51:11.0
194.0,KOR,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,258391000,tonnes,annual,47:28.7,51:11.0
195.0,KOR,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,258391000,tonnes,annual,47:28.7,51:11.0
196.0,DEU,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,247500000,tonnes,annual,47:28.7,51:09.6
197.0,DEU,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,247500000,tonnes,annual,47:28.7,51:09.6
198.0,DEU,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,247500000,tonnes,annual,47:28.7,51:09.6
199.0,IDN,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,220493000,tonnes,annual,47:28.7,48:07.8
200.0,IDN,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,220493000,tonnes,annual,47:28.7,48:07.8
201.0,IDN,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,220493000,tonnes,annual,47:28.7,48:07.8
202.0,IRN,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,179529000,tonnes,annual,47:28.7,51:11.0
203.0,IRN,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,179529000,tonnes,annual,47:28.7,51:11.0
204.0,IRN,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,179529000,tonnes,annual,47:28.7,51:11.0
205.0,MEX,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,166191000,tonnes,annual,47:28.7,
206.0,MEX,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,166191000,tonnes,annual,47:28.7,
207.0,MEX,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,166191000,tonnes,annual,47:28.7,
208.0,POL,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,154068000,tonnes,annual,47:28.7,51:12.8
209.0,POL,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,154068000,tonnes,annual,47:28.7,51:12.8
210.0,POL,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,154068000,tonnes,annual,47:28.7,51:12.8
211.0,BRA,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,116999000,tonnes,annual,47:28.7,48:06.5
212.0,BRA,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,116999000,tonnes,annual,47:28.7,48:06.5
213.0,BRA,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,116999000,tonnes,annual,47:28.7,48:06.5
214.0,MYS,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,111254000,tonnes,annual,47:28.7,51:12.8
215.0,MYS,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,111254000,tonnes,annual,47:28.7,51:12.8
216.0,MYS,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_20yr,111254000,tonnes,annual,47:28.7,51:12.8
217.0,GBR,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2,106590000,tonnes,annual,47:28.7,51:10.3
218.0,GBR,1/1/21 0:00,12/31/21 0:00,electricity-generation,co2e_100yr,106590000,tonnes,annual,47:28.7,51:10.3
